date,BA,AIR,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2018-12-17,316.13,87.65,3.606731317741015,3.6049746751308676,3.631664947754209,0.13139774226021378,-0.20312580843653635,0,1.0492036453806897,0.0,0.0
2018-12-18,328.06,88.65,3.7006204173716863,3.6181687360318415,3.635253627619268,0.13026803954101132,-0.13115182854999474,0,1.0492036453806897,0.0,0.0
2018-12-19,319.55,87.2,3.664564220183486,3.6368489609168115,3.63845871600938,0.12854409287723062,-0.01252297990936156,0,1.0492036453806897,0.0,0.0
2018-12-20,313.05,83.33,3.7567502700108006,3.6646911789736563,3.642825122298673,0.12802891483760526,0.17078998679882967,0,1.0492036453806897,0.0,0.0
2018-12-21,304.55,83.1,3.6648616125150424,3.678705567564406,3.6478236147589778,0.12274169199637296,0.25160116585602255,0,1.0492036453806897,0.0,0.0
2018-12-24,294.16,81.63,3.603577116256279,3.6780747272674588,3.651655807590369,0.1175144312541204,0.22481425808852157,0,1.0492036453806897,0.0,0.0
2018-12-26,313.93,81.63,3.845767487443342,3.70710414128179,3.6584554512077383,0.11673053279132521,0.41676062732463615,0,1.0492036453806897,0.0,0.0
2018-12-27,317.14,82.1,3.86285018270402,3.7467613337858965,3.663511334141073,0.11892069532605253,0.7000463579242568,0,1.0492036453806897,0.0,0.0
2018-12-28,316.38,83.76,3.7772206303724927,3.7508554058582346,3.6655310597620936,0.11981730139551366,0.7121204125144471,0,1.0492036453806897,0.0,0.0
2018-12-31,322.5,83.96,3.841114816579324,3.7861060466710916,3.6684779668333594,0.1219420564363031,0.9646227337421995,0,1.0492036453806897,0.0,0.0
2019-01-02,323.81,84.17,3.8470951645479388,3.8348096563294236,3.670845950401083,0.12402532998744763,1.3220178970290584,-2,1.0492036453806897,0.0,0.0
2019-01-03,310.9,81.21,3.8283462627755203,3.8313254113958592,3.672717426575547,0.12555684563337202,1.263236456922868,-2,1.0492036453806897,0.0,0.0
2019-01-04,327.08,85.12,3.8425751879699246,3.82727041244904,3.6747115141032833,0.12730575416097303,1.1983660860517917,-2,1.0492036453806897,0.0,0.0
2019-01-07,328.11,83.56,3.926639540449976,3.857154194464537,3.6774823357124093,0.1309589653730188,1.3719706645540204,-2,1.0492036453806897,0.0,0.0
2019-01-08,340.53,86.65,3.929948066935949,3.874920844535862,3.6811115843142863,0.134895352039793,1.4367378659896572,-2,1.0492036453806897,0.0,0.0
