date,JPM,BAC,ratio,ins_ratio,long_mean,long_std,z_score
2021-03-30,154.48,38.99,3.962041549115157,4.017909876457712,4.178950203914138,0.08868095411652491,-1.8159516782467482
2021-03-31,152.23,38.69,3.934608425949858,3.9884629979620465,4.1746690911553825,0.0941006258481825,-1.978797606444745
2021-04-01,153.71,39.49,3.8923778171689034,3.9567951731855246,4.170336282578345,0.10088627624072838,-2.116651712699581
2021-04-05,153.62,39.8,3.8597989949748746,3.9268418387782242,4.166470309373806,0.10813256322611091,-2.2160620579621884
2021-04-06,152.54,39.69,3.8432854623330814,3.898422449908375,4.161611494346551,0.11585323006185602,-2.2717454170043836
2021-04-07,154.93,40.05,3.8684144818976285,3.8796970364648695,4.156395551676263,0.12183887449363882,-2.2710199545206695
2021-04-08,155.12,39.7,3.9073047858942065,3.874236308453739,4.151942658454572,0.12597871049620324,-2.204391114236739
2021-04-09,156.28,39.99,3.907976994248562,3.87735614386967,4.147646018340889,0.12983612408751952,-2.0817771353758405
2021-04-12,155.95,40.06,3.892910634048926,3.883978471684481,4.14261851775077,0.1337693634807214,-1.9334774371081125
2021-04-13,154.09,39.32,3.9188708036622586,3.8990955399503164,4.138711691535452,0.13684049112185181,-1.7510617626457168
2021-04-14,151.21,39.88,3.7916248746238717,3.883737618495565,4.131906449240861,0.14372381859972347,-1.7267063536382672
2021-04-15,152.17,38.74,3.9279814145585954,3.8878729442284423,4.127166316474654,0.1457008434978386,-1.642360926000829
2021-04-16,153.3,39.15,3.915708812260537,3.8894193078308374,4.122354949224864,0.14785798870500477,-1.575401122618826
2021-04-19,152.65,39.17,3.8971151391370946,3.8902602088484715,4.1165745211325255,0.1497909362633519,-1.5108678664386217
2021-04-20,149.27,38.08,3.9199054621848743,3.8904671405529947,4.111230103452617,0.15100746938903498,-1.461934060565434
2021-04-21,150.54,38.72,3.8879132231404956,3.909724810256319,4.105361134706928,0.15274887562255252,-1.2807709624916146
2021-04-22,147.37,38.36,3.8417622523461943,3.8924809778138387,4.098511384700243,0.15522250184787295,-1.327323064850002
2021-04-23,150.19,39.18,3.8333333333333335,3.876005882028399,4.09096212407522,0.1569403954992411,-1.3696680281901046
2021-04-26,150.56,39.41,3.8203501649327585,3.8606528871875314,4.083114178275286,0.15852158106875153,-1.4033501911091357
2021-04-27,151.25,39.88,3.792627883650953,3.835197371480747,4.073997492918485,0.15924674395195357,-1.4995604651721264
2021-04-28,152.23,40.03,3.8028978266300273,3.818194292178653,4.065271869245719,0.15952333769904248,-1.5488490940003017
2021-04-29,155.19,41.11,3.774993918754561,3.8048406254603266,4.056424550145361,0.16067174228676814,-1.56582558391634
2021-04-30,153.81,40.53,3.794966691339748,3.79716729706161,4.048352483495852,0.1614494997550396,-1.5558127266752408
2021-05-03,153.36,40.56,3.7810650887573964,3.7893102818265376,4.040472799077706,0.16278196161145111,-1.5429382639501232
2021-05-04,155.48,41.0,3.7921951219512193,3.789223729486591,4.0326329041634645,0.16323002886278748,-1.4912034040102107
2021-05-05,157.52,41.39,3.8057501812031895,3.789794200401223,4.025476801361013,0.16361395930014133,-1.440479785269685
2021-05-06,160.69,42.01,3.8250416567483936,3.7998037479999893,4.018625573535955,0.16325042801922982,-1.34040583042263
2021-05-07,161.24,42.18,3.8226647700331915,3.805343363738678,4.0117585248780285,0.1626725863049738,-1.2688994859426987
2021-05-10,161.22,42.05,3.8340071343638527,3.8159317728599698,4.005063550515642,0.16156196035486298,-1.1706454739732872
2021-05-11,158.54,41.57,3.8138080346403656,3.820254355397798,3.9980796198972963,0.16060278589468469,-1.10723648726808
2021-05-12,157.45,41.18,3.823457989315201,3.823795917020201,3.9914557045650487,0.1594490733259693,-1.0514942736737811
2021-05-13,161.5,41.84,3.8599426386233264,3.830776113395187,3.985508124498706,0.15754530030150493,-0.982142982414567
2021-05-14,164.01,42.36,3.871813031161473,3.840605765620843,3.97906729751977,0.1540665311475992,-0.8987125942770618
2021-05-17,164.67,42.74,3.8528310715956944,3.844370553067212,3.971856713275857,0.14954105247606717,-0.8525161358553893
2021-05-18,162.35,42.16,3.8508064516129035,3.8517702364617192,3.965192818906105,0.14576842490832786,-0.7781011732528231
