date,CVX,XOM,ratio,ins_ratio,long_mean,long_std,z_score
2022-09-01,155.54,93.87,1.6569724086502609,1.658444577975184,1.679504841650216,0.03485743334838074,-0.6041828571985332
2022-09-02,157.85,95.59,1.6513233601841195,1.6547764820545132,1.6781633989121687,0.03435552036922205,-0.68073242979044
2022-09-06,157.12,94.95,1.6547656661400738,1.6568642537164073,1.6768298327725732,0.03366665021282071,-0.5930372915022819
2022-09-07,155.11,94.14,1.6476524325472701,1.652846822044987,1.6751912309034545,0.03262088732157396,-0.6849724422943541
2022-09-08,155.95,94.91,1.6431356021494046,1.650769893934226,1.6734810148481634,0.0315307089014741,-0.7202857691815384
2022-09-09,159.97,96.5,1.657720207253886,1.6509194536549507,1.672051412336387,0.030219698259363697,-0.69927762018234
2022-09-12,162.5,97.61,1.664788443806987,1.6536124703795245,1.6709469361767715,0.029221096776357664,-0.5932174938509496
2022-09-13,159.41,95.33,1.6721913353613762,1.6570976042237848,1.670462121306194,0.028949346336540283,-0.4616517736547433
2022-09-14,163.27,97.67,1.6716494317600084,1.6618970040663323,1.669607199697426,0.028118679104021757,-0.27420191405758026
2022-09-15,160.62,94.83,1.693767795001582,1.672023442636768,1.6696720367996603,0.028170648574963666,0.08347006391601058
2022-09-16,156.45,93.21,1.6784679755391052,1.6761729962938117,1.669596195751566,0.028140217319642863,0.23371534297480012
2022-09-19,156.9,93.2,1.6834763948497855,1.6799105865023716,1.6697955118735295,0.028196352449963283,0.3587369907789354
2022-09-20,156.28,92.44,1.6906101254868022,1.6835943445274566,1.6702067163048302,0.028318779931371264,0.47274735193643425
2022-09-21,155.01,90.95,1.7043430456294666,1.6901330673013484,1.6709869142441751,0.028607022211547893,0.6692815811302608
2022-09-22,154.89,90.57,1.7101689301093077,1.6934132943228934,1.6721782543361607,0.02872730596990787,0.7391935745376408
2022-09-23,144.77,85.75,1.6882798833819244,1.6953756758914573,1.672517039198397,0.028796406850083528,0.7938016993600718
2022-09-26,140.96,83.98,1.67849487973327,1.6943793728681542,1.672315867919469,0.028710218357061244,0.7684896253413119
2022-09-27,141.02,85.74,1.6447399113599255,1.6852053300427787,1.671837470668291,0.028929414707250342,0.46208537261341215
2022-09-28,145.78,88.86,1.640558181408958,1.6724483571986775,1.6711448910521478,0.02917561652591426,0.044676558775438135
2022-09-29,144.77,88.68,1.6324988723500224,1.65691434564682,1.6701791742112315,0.0294833948411447,-0.44990845307610644
2022-09-30,143.67,87.31,1.645515977551254,1.6483615644806862,1.6697710683836686,0.02965485431517685,-0.7219561315472537
2022-10-03,151.73,91.92,1.6506744995648388,1.6427974884469996,1.66963941970851,0.029722862402186783,-0.9030735633165545
2022-10-04,157.63,95.27,1.6545607221580771,1.64476165060663,1.6696757306702137,0.02970274658124935,-0.8387803463034399
2022-10-05,158.53,99.12,1.5993744955609361,1.6365249134370257,1.6689315777855784,0.030891813866619655,-1.0490372785642736
2022-10-06,161.42,102.06,1.5816186556927296,1.626348870105567,1.6681839993534262,0.0324406262108252,-1.2895906810177133
2022-10-07,160.03,101.03,1.583984954963872,1.6140426655880908,1.6673325257658422,0.03395932871167004,-1.569225959388251
2022-10-10,157.14,98.84,1.5898421691622824,1.6018761995075796,1.6666928398146117,0.035052405893879236,-1.8491352777114272
2022-10-11,157.17,98.0,1.6037755102040816,1.5917191571167804,1.6664034614616448,0.035503626021986076,-2.1035683594294055
2022-10-12,157.64,98.43,1.6015442446408612,1.5921531069327652,1.6657913830798707,0.03630441653071815,-2.0283558636673904
2022-10-13,165.28,101.87,1.6224599980367134,1.6003213754015622,1.665467972468933,0.03660635142039855,-1.7796528345370268
2022-10-14,160.14,99.19,1.6144772658534126,1.6064198375794703,1.6647595926168222,0.037180132343885355,-1.5691110106267938
2022-10-17,161.31,100.62,1.603160405485987,1.609083484844211,1.6638817041062037,0.03800711786931666,-1.4417883368691728
2022-10-18,162.72,100.8,1.6142857142857143,1.6111855256605376,1.6632840580684598,0.038505456239687506,-1.3530168837273588
2022-10-19,168.0,103.79,1.618653049426727,1.6146072866177108,1.6628675072149728,0.03885509938324044,-1.2420562902504966
2022-10-20,168.96,103.93,1.625709612239007,1.6152572094581696,1.662795836943182,0.038920645048981295,-1.2214244503189837
2022-10-21,173.19,105.86,1.6360287171736256,1.619567499722212,1.66300663507915,0.03873737076870889,-1.1213754184893459
2022-10-24,173.13,106.6,1.624108818011257,1.6237571822272663,1.6619138993815383,0.038896811068559474,-0.9809728897059726
2022-10-25,174.93,105.88,1.6521533811862488,1.631330715607373,1.661135154577431,0.038610897734190124,-0.7719177931381289
2022-10-26,177.09,107.14,1.6528840769087176,1.6381769211037713,1.6604879069807486,0.03841452343583426,-0.5807955919131575
2022-10-27,177.9,107.55,1.6541143654114365,1.6438578717382573,1.6596085195823285,0.03793551157185174,-0.41519534577090655
2022-10-28,179.98,110.7,1.6258355916892502,1.6418192466413821,1.6578148515851165,0.03691521512842395,-0.43330656175475285
